gnome-keyring 1:40.0-1
gnome-klotski 3.38.2-1
gnome-logs 3.36.0-1
gnome-mahjongg 3.38.3-1
gnome-maps 41.4-1
gnome-menus 3.36.0-1
gnome-mines 40.1-1
gnome-multi-writer 3.32.1-2
gnome-music 1:41.0-2
gnome-nettool 3.8.1+205+g8550eef-3
gnome-nibbles 3.38.2-1
gnome-online-accounts 3.40.1-1
gnome-online-miners 3.34.0-2
gnome-photos 40.0+14+g884b1fd1-1
gnome-recipes 2.0.4-2
gnome-remote-desktop 41.2-1
gnome-robots 40.0-1
gnome-screenshot 41.0-1
gnome-session 41.3-1
gnome-settings-daemon 41.0-2
gnome-shell 1:41.4-1
gnome-shell-extensions 41.2-1
gnome-software 41.4-1
gnome-sound-recorder 40.0-1
gnome-sudoku 40.2-1
gnome-system-monitor 41.0-1
gnome-taquin 3.38.1-1
gnome-terminal-transparency 3.42.1-1
gnome-tetravex 3.38.2-1
gnome-themes-extra 3.28+r6+g45b1d457-1
gnome-todo 41.0+r69+ga9a5b7cd-1
gnome-tweaks 40.0-2
gnome-usage 3.38.1-1
gnome-user-docs 41.2-1
gnome-user-share 3.34.0-2
gnome-video-effects 0.5.0+4+g9554041-2
gnome-weather 41.0-1
gnu-free-fonts 20120503-8
gnupg 2.2.32-2
gnutls 3.7.3-1
go 2:1.17.7-1
gobject-introspection-runtime 1.70.0-5
gom 0.4-5
google-chrome 96.0.4664.93-1
gpgme 1.17.0-2
gpm 1.20.7.r38.ge82d1a6-4
gptfdisk 1.0.8-1
graphene 1.10.6-1
graphite 1:1.3.14-1
graphviz 2.50.0-2
grep 3.7-1
grilo 0.3.14-1
grilo-plugins 1:0.3.14-1
groff 1.22.4-6
grub 2:2.06-4
gsettings-desktop-schemas 41.0-1
gsfonts 20200910-2
gsm 1.0.19-1
gsound 1.0.3-1
gspell 1.8.4-1
gssdp 1.4.0.1-1
gst-editing-services 1.20.0-2
gst-plugin-gtk 1.20.0-2
gst-plugin-pipewire 1:0.3.47-2
gst-plugins-bad 1.20.0-2
gst-plugins-bad-libs 1.20.0-2
gst-plugins-base 1.20.0-2
gst-plugins-base-libs 1.20.0-2
gst-plugins-good 1.20.0-2
gstreamer 1.20.0-2
gtk-doc 1.33.2-1
gtk-update-icon-cache 1:4.6.1-2
gtk-vnc 1.3.0-1
gtk2 2.24.33-2
gtk3 1:3.24.31-3
gtk4 1:4.6.1-2
gtkmm 1:2.24.5-4
gtkmm3 3.24.5-2
gtksourceview4 4.8.2-1
gts 0.7.6.121130-2
guile 2.2.7-2
gupnp 1:1.4.3-1
gupnp-av 0.14.0-1
gupnp-dlna 0.12.0-1
gupnp-igd 1.2.0-2
gutenprint 5.3.4-1
gvfs 1.48.1-1
gvfs-afc 1.48.1-1
gvfs-goa 1.48.1-1
gvfs-google 1.48.1-1
gvfs-gphoto2 1.48.1-1
gvfs-mtp 1.48.1-1
gvfs-nfs 1.48.1-1
gvfs-smb 1.48.1-1
gzip 1.11-1
harfbuzz 3.4.0-1
harfbuzz-icu 3.4.0-1
hashcat 1:6.2.5-1
haskell-aeson 1.5.6.0-82
haskell-aeson-pretty 0.8.9-33
haskell-ansi-terminal 0.11-214
haskell-appar 0.1.8-13
haskell-asn1-encoding 0.9.6-151
haskell-asn1-parse 0.9.5-151
haskell-asn1-types 0.3.4-130
haskell-assoc 1.0.2-122
haskell-async 2.2.4-8
haskell-attoparsec 0.14.4-1
haskell-base-compat 0.12.0-1
haskell-base-compat-batteries 0.12.0-2
haskell-base-orphans 0.8.6-5
haskell-base16-bytestring 1.0.2.0-7
haskell-base64-bytestring 1.2.1.0-28
haskell-basement 0.0.12-4
haskell-bifunctors 5.5.11-47
haskell-blaze-builder 0.4.2.2-2
haskell-blaze-html 0.9.1.2-151
haskell-blaze-markup 0.8.2.8-57
haskell-byteable 0.1.1-25
haskell-byteorder 1.0.4-24
haskell-case-insensitive 1.2.1.0-130
haskell-cereal 0.5.8.2-2
haskell-citeproc 0.6.0.1-12
haskell-cmdargs 0.10.21-4
haskell-colour 2.3.6-64
haskell-commonmark 0.2.1.1-5
haskell-commonmark-extensions 0.2.2.1-7
haskell-commonmark-pandoc 0.2.1.2-11
haskell-comonad 5.0.8-126
haskell-conduit 1.3.4.2-29
haskell-conduit-extra 1.3.5-206
haskell-connection 0.3.1-173
haskell-cookie 0.4.5-12
haskell-cryptonite 0.29-44
haskell-data-default 0.7.1.1-198
haskell-data-default-class 0.1.2.0-24
haskell-data-default-instances-containers 0.0.1-36
haskell-data-default-instances-dlist 0.0.1-211
haskell-data-default-instances-old-locale 0.0.1-36
haskell-data-fix 0.3.2-29
haskell-digest 0.0.1.3-2
haskell-distributive 0.6.2.1-129
haskell-dlist 1.0-133
haskell-doclayout 0.3.0.2-54
haskell-doctemplates 0.10.0.1-32
haskell-emojis 0.1.2-1
haskell-erf 2.0.0.0-24
haskell-errors 2.3.0-64
haskell-file-embed 0.0.14.0-4
haskell-ghc-bignum-orphans 0.1-2
haskell-glob 0.10.2-17
haskell-haddock-library 1.10.0-97
haskell-hashable 1.3.5.0-11
haskell-hourglass 0.2.12-173
haskell-hslua 1.3.0.1-98
haskell-hslua-module-path 0.1.0.1-83
haskell-hslua-module-system 0.2.2.1-154
haskell-hslua-module-text 0.3.0.1-142
haskell-hsyaml 0.2.1.0-143
haskell-http 4000.3.16-131
haskell-http-client 0.7.10-10
haskell-http-client-tls 0.3.5.3-490
haskell-http-types 0.12.3-210
haskell-indexed-traversable 0.1.2-2
haskell-integer-logarithms 1.0.3.1-6
haskell-iproute 1.7.12-5
haskell-ipynb 0.1.0.1-277
haskell-jira-wiki-markup 1.4.0-40
haskell-juicypixels 3.3.6-17
haskell-memory 0.16.0-44
haskell-mime-types 0.1.0.9-14
haskell-mono-traversable 1.0.15.3-28
haskell-network 3.1.2.7-5
haskell-network-uri 2.6.4.1-62
haskell-old-locale 1.0.0.7-30
haskell-old-time 1.1.0.3-30
haskell-pandoc-types 1.22-138
haskell-pem 0.2.4-207
haskell-primitive 0.7.3.0-16
haskell-quickcheck 2.14.2-265
haskell-random 1.2.1-53
haskell-resourcet 1.2.4.3-29
haskell-safe 0.3.19-8
haskell-scientific 0.3.7.0-40
haskell-sha 1.6.4.4-19
haskell-skylighting 0.11-70
haskell-skylighting-core 0.11-73
haskell-socks 0.6.1-155
haskell-split 0.2.3.4-172
haskell-splitmix 0.1.0.4-31
haskell-streaming-commons 0.2.2.3-3
haskell-strict 0.4.0.1-96
haskell-syb 0.7.2.1-107
haskell-tagged 0.8.6.1-5
haskell-tagsoup 0.14.8-153
haskell-temporary 1.3-351
haskell-texmath 0.12.3.2-13
haskell-text-conversions 0.3.1-110
haskell-text-icu 0.8.0-2
haskell-th-abstraction 0.4.3.0-2
haskell-th-compat 0.1.3-24
haskell-th-lift 0.8.2-11
haskell-th-lift-instances 0.1.19-13
haskell-these 1.1.1.1-123
haskell-time-compat 1.9.6.1-24
haskell-tls 1.5.7-5
haskell-transformers-compat 0.7.1-2
haskell-typed-process 0.2.8.0-13
haskell-unicode-collation 0.1.3.1-20
